"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Valderejo";"210003";"20964";"ES211001";"Parque Natural";"País Vasco";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 3/1992, de 14 de enero. BOPV 27.";"1992";"Decreto 4/1992 de 14 de enero. BOPV 28 de 11 de febrero de 1992";"1992";"Decreto 146/2002, de 18 de junio. BOPV 145, de 1 de agosto de 2002.";"2002";"1996";"";"";"";"";"";"Datos Valderejo (2012)"
"Valdepajares de Tajo";"430067";"555595643";"ES432056";"Otros";"Extremadura";"Área Privada de Interés Ecológico";"www.redeuroparc.org";"";"";"";"";"";"";"2016";"";"";"";"";"256.70 ha";"256.70 ha";"";"";""
"Utxesa";"510069";"196192";"ES513011";"Reserva Natural";"Cataluña";"Reserva Natural de Fauna Salvaje";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 23 de octubre de 1990. DOGC 1366 de 12 de noviembre de 1990";"1990";"";"";"";"";"";"";"";"";"Datos Utxesa (2012)"
"Utxesa";"510214";"389217";"ES510214";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"";"";"";"";"";"";"Datos Utxesa (2012)"
"Urkiola";"210002";"349528";"ES210002";"Parque Natural";"País Vasco";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 147/2002, de 18 de junio. BOPV 150.";"2002";"Decreto 275/1989 de 29 de diciembre. BOPV 3 de 4 de enero de 1990";"1990";"Decreto 111/2006, de 30 de mayo. BOPV 150,de 8 de agosto de 2006.";"2006";"";"";"";"";"";"";"Datos Urkiola (2012)"
"Urdaibai";"210001";"63232";"ES213001";"Parque Natural";"País Vasco";"Reserva de la Biosfera";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 5/1989. BOPV 145 de 29 de julio de 1989";"1989";"Decreto 27/2003, de 11 de febrero. BOPV 46.";"2003";"0";"1998";"";"";"";"";"Datos Urdaibai (2012)"
"Urbasa y Andía";"220102";"0";"0";"Parque Natural";"Comunidad Foral de Navarra";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto Foral 267/1996, de 1 de julio. BON 97.";"1996";"Ley Foral 3/1997 de 27 de febrero.BON  31 de 12 de marzo de 1997.";"1997";"Decreto Foral 340/2001, de 4 de diciembre. BON 15.";"2002";"";"";"";"";"";"";"Datos Urbasa y Andía (2012)"
"Urbasa y Andia";"220112";"0";"ES2200021";"Designaciones para la Red Natura 2000";"Comunidad Foral de Navarra";"Zona Especial de Conservación";"www.redeuroparc.org";"0";"";"";"Decreto Foral 267/1996, de 1 de julio. BON 97.";"1996";"Decreto Foral 228/2007, de 8 de diciembre";"2007";"Decreto Foral 340/2001, de 4 de diciembre. BON nº 4 2002";"2002";"";"";"";"";"";"";"Datos Urbasa y Andia (2012)"
"Umbría La Plana";"520037";"349498";"ES523098";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 20 de maig de 2005. DOGV 5013 de 20 de maig de 2005";"2005";"Acuerdo de 20 de maig de 2005. DOGV 5013 de 20 de maig de 2005";"2005";"";"";"";"";"";"";"Datos Umbría La Plana (2012)"
"UmbrÍa de Villar";"520077";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 11 de junio de 1997, de la Conselleria de Medio Ambiente, por la que se convocan ayudas destinadas a indemnizar la incorporación de terrenos a la red de microrreservas de flora. DOGV 3049 de 4 de agosto de 1997";"1997";"Orden de 11 de junio de 1997, de la Conselleria de Medio Ambiente, por la que se convocan ayudas destinadas a indemnizar la incorporación de terrenos a la red de microrreservas de flora. DOGV 3049 de 4 de agosto de 1997";"1997";"";"";"";"";"";"";"Datos UmbrÍa de Villar (2012)"
"Umbría del Rodeno Tormé";"520194";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Umbría del Rodeno Tormé (2012)"
"Umbría de las Carrasquillas";"520153";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"";"";"";"";"";"";"Datos Umbría de las Carrasquillas (2012)"
"Umbría de la Peña Parda";"520341";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"";"";"";"";"";"";"Datos Umbría de la Peña Parda (2012)"
"Umbría de la Fuente de Roser";"520152";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"";"";"";"";"";"";"Datos Umbría de la Fuente de Roser (2012)"
"Ullals del Riu Verd";"520424";"555545979";"ES523108";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"0";"0";"0";"";"Acuerdo 30 de mayo de 2008. DOCV 5776. 3 de junio de 2008";"2008";"Acuerdo de 30 de mayo de 2008, DOCV 5776, de 03 de junio de 2008";"2008";"";"";"";"";"";"";"Datos Ullals del Riu Verd (2012)"
"Ullal de Miravet";"520582";"389423";"ES522172";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Ullal de Miravet (2012)"
"Ullal de l`Estany del Duc";"520447";"389358";"ES523164";"0";"Comunidad Valenciana";"Zonas Húmedas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Acuerdo de 10 de septiembre de 2002, del Gobierno Valenciano, de aprobación del Catálogo de Zonas Húmedas de la Comunidad Valenciana (DOCV nº4.336, de 16.09.2002)";"0";"0";"0";"0";"0";"";"";"";"";"Datos Ullal de l`Estany del Duc (2012)"
"Ukerdi";"220040";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Integral";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 231/1998, de 6 de julio. BON 97.";"1998";"";"";"";"";"";"";"Datos Ukerdi (2012)"
"Turons de Maçanet";"510213";"389216";"ES510213";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Resolución de 26 de enero de 1999. DOGC 2835.";"1999";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Turons de Maçanet (2012)"
"Turons de la Plana Ausetana";"510212";"389215";"ES510212";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Turons de la Plana Ausetana (2012)"
"Turó de la Pomareda";"510005";"349475";"ES512003";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Turó de la Pomareda (2012)"
"Turixant de Dalt";"530096";"389564";"ES530082";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Turixant de Dalt (2012)"
"Turia";"520044";"389027";"ES523131";"Parque Natural";"Comunidad Valenciana";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 42/2007, de 13 de abril. DOGV 5493. 19,04,2007 ";"2007";"Decreto 43/2007, de13 de abril, del Consell, de declaración del Parque Natural del Turia. DOCV 5493 de 19 de abril de 2007";"2007";"";"";"";"";"";"";"";"";"Datos Turia (2012)"
"Turbera de Valdeyernos";"420065";"389502";"ES425015";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 319/2003 de 16 de diciembre. DOCM 9 de 21 de enero de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos Turbera de Valdeyernos (2012)"
"Túneles de Ojailén";"420035";"349513";"ES422032";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 320/2003 de 16 de diciembre. DOCM 9 de 21 de enero de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos Túneles de Ojailén (2012)"
"Túnel de Niefla";"420063";"349514";"ES422014";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 114/2002 de 3 de septiembre. DOCM 118 de 25 de septiembre de 2002.";"2002";"";"";"";"";"";"";"";"";"Datos Túnel de Niefla (2012)"
"Tunel dels Sumidors";"520553";"389501";"ES523233";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Tunel dels Sumidors (2012)"
"Tunel de Carcalin (II)";"520536";"389500";"ES523232";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Tunel de Carcalin (II) (2012)"
"Tunel de Carcalin (I)";"520546";"389499";"ES523231";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Tunel de Carcalin (I) (2012)"
"Tunel de Canals";"520547";"389498";"ES523230";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Tunel de Canals (2012)"
"Tunel d`Arguines";"520548";"389497";"ES523229";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Tunel d`Arguines (2012)"
"Tufia";"700001";"19062";"ES701015";"Otros";"Islas Canarias";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1987";"";"";"";"";"";"";"";"";"Datos Tufia (2012)"
"Tubo Volcánico de Todoque";"700139";"92640";"ES702065";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 7/2011, de 11 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 14 de diciembre de 2004. BOC 253, jueves 30 de diciembre de 2004";"2004";"";"";"";"";"";"";"Datos Tubo Volcánico de Todoque (2012)"
"Tristuibartea";"220039";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 230/1998, de 6 de julio. BON 100.";"1998";"";"";"";"";"";"";"Datos Tristuibartea (2012)"
"Tres Hereus, els";"510211";"389214";"ES510211";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tres Hereus, els (2012)"
"Tres Arroyos";"430085";"555588776";"ES431028";"Otros";"Extremadura";"Corredor Ecológico y de Biodiversidad";"www.redeuroparc.org";"";"";"";"";"";"";"";"";"";"";"";"238.39 ha";"238.39 ha";"";"";""
"Tramo litoral Deba-Zumaia";"210041";"555546022";"ES212016";"Otros";"País Vasco";"Biotopo Protegido";"www.redeuroparc.org";"0";"0";"0";"Decreto 33/2009, de 10 de febrero. BOPV 58";"2009";"Decreto 34/2009, de 10 de febrero, BOPV 35, de 19 de febrero de 2009";"2009";"";"";"";"";"";"";"";"";"Datos Tramo litoral Deba-Zumaia (2012)"
"Tossa Plana de Lles-Puigpedrós";"510205";"389208";"ES510205";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tossa Plana de Lles-Puigpedrós (2012)"
"Tossals d´Isòvol i Olopte";"510208";"389211";"ES510208";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de 24 de diciembre 1996.";"1997";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tossals d´Isòvol i Olopte (2012)"
"Tossals de Torregrossa";"510210";"389213";"ES510210";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tossals de Torregrossa (2012)"
"Tossals d´ Almatret";"510207";"389210";"ES510207";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tossals d´ Almatret (2012)"
"Tossal Gros de Miramar";"510206";"389209";"ES510206";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tossal Gros de Miramar (2012)"
"Tossal de Montagut";"510266";"389243";"ES510266";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Tossal de Montagut (2012)"
"Tossal de Mitjavila";"520091";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 16 de noviembre de 1998, de la Consellería de Medio Ambiente, por la que se declaran 14 microrreservas vegetales en la provincia de Castellón. DOGV 3385 de 2 de diciembre de 1998";"1998";"Orden de 16 de noviembre de 1998, de la Consellería de Medio Ambiente, por la que se declaran 14 microrreservas vegetales en la provincia de Castellón. DOGV 3385 de 2 de diciembre de 1998";"1998";"";"";"";"";"";"";"Datos Tossal de Mitjavila (2012)"
"Tossal dels Corbs";"520171";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Tossal dels Corbs (2012)"
"Tossal de Cervera";"520216";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"";"";"";"";"";"";"Datos Tossal de Cervera (2012)"
"Torretes Font-Roja";"520384";"0";"0";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"";"";"0";"0";"Orden 18/2010, de 26 de agosto, de la conselleria de Medio Ambiente, Agua, urbanismo y vivienda, por la que se declaran seis reservas de fauna en la Comunitat Valenciana";"2011";"Orden 18/2010, de 26 de agosto. DOCV 6351 del 9 de septiembre de 2010.";"2010";"0";"0";"";"";"";"";"Datos Torretes Font-Roja (2012)"
"Torretes";"520410";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"0";"Orden 11/2010, de 26 de Mayo de 2010. DOCV 6286";"2010";"Orden 11/2010, de 26 de mayo. DOCV 6286 del 10 de junio de 2010.";"2010";"0";"0";"";"";"";"";"Datos Torretes (2012)"
"Torresseta del Turmell";"520295";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 19 de septiembre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 11 microrreservas vegetales en la provincia de Castellón DOGV 4602 de 6 de octubre de 2003";"2003";"Orden de 19 de septiembre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 11 microrreservas vegetales en la provincia de Castellón DOGV 4602 de 6 de octubre de 2003";"2003";"";"";"";"";"";"";"Datos Torresseta del Turmell (2012)"
"Torrent de Pareis";"530027";"349483";"ES530016";"Monumento Natural";"Illes Balears";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.";"2007";"Decreto 53/2003 de 16 de mayo. BOIB 79 de 5 de junio de 2003";"2003";"";"";"";"";"";"";"";"";"Datos Torrent de Pareis (2012)"
"Torrent del Pi";"510224";"349482";"ES514013";"Reserva Natural";"Cataluña";"Reserva Natural de Fauna Salvaje";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 10 de mayo de 1996. DOGC 2211 de 29 de mayo de 1996";"1996";"";"";"";"";"";"";"";"";"Datos Torrent del Pi (2012)"
"Torre de la Sal";"520279";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2003";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2003";"";"";"";"";"";"";"Datos Torre de la Sal (2012)"
"Torre de la Colomera";"520090";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 16 de noviembre de 1998, de la Consellería de Medio Ambiente, por la que se declaran 14 microrreservas vegetales en la provincia de Castellón. DOGV 3385 de 2 de diciembre de 1998";"1998";"Orden de 16 de noviembre de 1998, de la Consellería de Medio Ambiente, por la que se declaran 14 microrreservas vegetales en la provincia de Castellón. DOGV 3385 de 2 de diciembre de 1998";"1998";"";"";"";"";"";"";"Datos Torre de la Colomera (2012)"
"Torre Badún";"520215";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"";"";"";"";"";"";"Datos Torre Badún (2012)"
"Torcas de Lagunaseca";"420064";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 310/2003 de 2 de diciembre. DOCM 182 de 29 de diciembre de 2003";"2003";"";"";"";"";"";"";"";"";"Datos Torcas de Lagunaseca (2012)"
"Torcal de Antequera";"610001";"4740";"ES617001";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"Sitio Natural de Interés Nacional";"REAL ORDEN Nº 240/1929, DE DECLARACIÓN DEL TORCAL DE ANTEQUERA COMO SITIO DE INTERÉS NACIONAL. (GAZETA DE MADRID, NÚM. 194/1929, DE 13 DE JULIO DE 1929) -DEROGADA POR LA LEY 4/1989. LÍMITES DEL PARAJE NATURAL TORCAL DE ANTEQUERA SE ENCUENTRAN DEFINIDOS EN";"1929";"0";"0";"Ley 2/ 1989, de 18 de julio. BOJA 60 de 27/07/89. Reclasificación del espacio.";"1989";"";"";"";"";"";"";"";"";"Datos Torcal de Antequera (2012)"
